,subject,window
0,10,0.0
1,10,1.0
2,10,1.5
3,10,2.0
4,10,2.5
5,10,3.0
6,6,0.0
7,6,1.0
8,6,1.5
9,6,2.0
10,6,2.5
11,6,3.0
12,7,0.0
13,7,1.0
14,7,1.5
15,7,2.0
16,7,2.5
17,7,3.0
18,8,0.0
19,8,1.0
20,8,1.5
21,8,2.0
22,8,2.5
23,8,3.0
24,9,0.0
25,9,1.0
26,9,1.5
27,9,2.0
28,9,2.5
29,9,3.0
